Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.78, -120.0,         1, 3,    2401.78,  120.0,         1
"650", 4.16, 1,    2401.86,    0.0,         1, 2,    2401.84, -120.0,         1, 3,    2401.81,  120.0,         1
"RG60", 4.16, 1,    2356.95,    0.0,   0.98134, 2,    2386.87, -120.0,   0.99379, 3,     2401.7,  120.0,   0.99997
"633", 4.16, 1,    2507.34,   -1.5,     1.044, 2,     2431.7, -123.4,    1.0125, 3,    2293.94,  113.6,    0.9551
"634", 0.48, 1,    291.484,   -0.7,    1.0518, 2,     280.58, -123.4,    1.0125, 3,    264.685,  113.6,    0.9551
"684", 4.16, 2,    2477.26, -122.9,    1.0314, 3,    2245.46,  107.2,   0.93492, 0, 0, 0, 0
"645", 4.16, 2,    2424.08, -123.6,    1.0093, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2419.95, -123.7,    1.0076, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2649.34,   -2.3,    1.1031, 2,    2477.26, -122.9,    1.0314, 3,    2269.45,  107.9,    0.9449
"675", 4.16, 1,    2667.42,   -2.5,    1.1106, 2,    2492.86, -123.0,    1.0379, 3,     2282.6,  107.7,   0.95038
"611", 4.16, 3,    2243.32,  106.9,   0.93403, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    2236.37,  107.1,   0.93113, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2545.47,   -2.2,    1.0598, 2,     2468.6, -124.1,    1.0278, 3,    2264.81,  111.3,   0.94297
"671", 4.16, 1,    2649.34,   -2.3,    1.1031, 2,    2477.26, -122.9,    1.0314, 3,    2269.45,  107.9,    0.9449
"632", 4.16, 1,    2502.66,   -1.6,     1.042, 2,     2431.7, -123.4,    1.0125, 3,    2293.94,  113.6,    0.9551
