Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 0.208, 1, 2.90741E-33,   90.0, 2.421E-35, 2, 9.6516E-48,    0.0, 8.0371E-50, 3, 9.65163E-48,   90.0, 8.0371E-50
"680", 0.208, 1, 5.34278E-38,   90.0, 4.449E-40, 2, 1.47313E-52,    0.0, 1.2267E-54, 3, 6.80429E-62,   30.2, 5.666E-64
"650", 0.208, 1, 9.23693E-38,   42.4, 7.6917E-40, 2, 1.31425E-47,   90.0, 1.0944E-49, 3, 7.70397E-43,    0.0, 6.4152E-45
"RG60", 0.208, 1, 1.90222E-52,    0.0, 1.584E-54, 2, 4.47041E-33,   90.0, 3.7226E-35, 3, 3.42894E-62,   90.0, 2.8553E-64
"633", 0.208, 1, 3.85218E-57,   90.0, 3.2078E-59, 2, 3.42943E-62,    0.0, 2.8557E-64, 3, 1.13018E-42,    0.0, 9.4112E-45
"634", 0.208, 1, 8.4872E-38,   36.6, 7.0674E-40, 2, 3.21743E-57,   90.0, 2.6792E-59, 3, 7.40335E-38,    0.0, 6.1649E-40
"684", 0.208, 2, 2.31575E-52,   90.0, 1.9284E-54, 3, 4.47193E-33,    0.0, 3.7238E-35, 0, 0, 0, 0
"645", 0.208, 2, 7.86351E-67,   90.0, 6.5481E-69, 0, 0, 0, 0, 0, 0, 0, 0
"646", 0.208, 2, 6.74643E-67,    0.0, 5.6179E-69, 0, 0, 0, 0, 0, 0, 0, 0
"692", 0.208, 1, 4.08146E-33,    0.0, 3.3987E-35, 2, 1.03385E-47,    0.0, 8.6091E-50, 3, 2.90891E-33,   90.0, 2.4223E-35
"675", 0.208, 1, 3.21681E-57,   90.0, 2.6787E-59, 2, 1.5759E-52,    0.0, 1.3123E-54, 3, 4.8496E-33,   90.0, 4.0383E-35
"611", 0.208, 3, 8.62009E-43,   90.0, 7.1781E-45, 0, 0, 0, 0, 0, 0, 0, 0
"652", 0.208, 3, 6.51824E-38,    0.0, 5.4278E-40, 0, 0, 0, 0, 0, 0, 0, 0
"670", 0.208, 1, 1.65503E-47,    0.0, 1.3782E-49, 2, 1.03961E-66,   59.8, 8.657E-69, 3, 1.24396E-47,    0.0, 1.0359E-49
"671", 0.208, 1, 6.22437E-38,   90.0, 5.1831E-40, 2, 2.24564E-57,    0.0,  1.87E-59, 3, 4.75501E-38,    0.0, 3.9596E-40
"632", 0.208, 1, 4.32482E-57,   45.0, 3.6014E-59, 2, 4.85334E-33,   90.0, 4.0415E-35, 3, 1.47232E-52,   90.0, 1.226E-54
"646_OFFICE", 0.208, 1, 1.47292E-52,    0.0, 1.2265E-54, 2, 4.90372E-62,   90.0, 4.0834E-64, 3, 1.10764E-47,   90.0, 9.2235E-50
