Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.78, -120.0,         1, 3,    2401.78,  120.0,         1
"650", 4.16, 1,    2401.83,    0.0,         1, 2,     2401.8, -120.0,         1, 3,    2401.76,  120.0,   0.99999
"RG60", 4.16, 1,    2386.84,    0.0,   0.99378, 2,    2401.67, -120.0,   0.99996, 3,    2461.52,  120.0,    1.0249
"633", 4.16, 1,    2431.17,   -2.7,    1.0122, 2,    2272.47, -126.6,   0.94616, 3,    2193.57,  111.7,   0.91331
"634", 0.48, 1,    289.904,    1.0,    1.0461, 2,    262.208, -126.6,   0.94616, 3,    253.104,  111.7,   0.91331
"684", 4.16, 2,    2263.75, -128.7,   0.94253, 3,    2068.28,  103.1,   0.86115, 0, 0, 0, 0
"645", 4.16, 2,    2264.97, -126.8,   0.94304, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2261.11, -126.9,   0.94143, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2459.62,   -6.7,    1.0241, 2,    2263.75, -128.7,   0.94253, 3,    2090.19,  103.8,   0.87027
"675", 4.16, 1,    2453.64,   -7.3,    1.0216, 2,    2262.92, -129.2,   0.94218, 3,    2088.58,  103.4,    0.8696
"611", 4.16, 3,    2066.34,  102.9,   0.86034, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    2059.92,  103.0,   0.85766, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2395.32,   -5.0,   0.99731, 2,    2255.93, -128.5,   0.93927, 3,    2116.04,  108.5,   0.88103
"671", 4.16, 1,    2459.62,   -6.7,    1.0241, 2,    2263.75, -128.7,   0.94253, 3,    2090.19,  103.8,   0.87027
"632", 4.16, 1,    2411.22,   -3.2,    1.0039, 2,    2272.47, -126.6,   0.94616, 3,    2193.57,  111.7,   0.91331
