2024-08-30 19:01:46,961 Process-8  root Logging status updates for /home/austin/programming/repositories/microgridup/microgridup/data/projects/lehigh1mg.
2024-08-30 19:01:46,964 Process-8  root Rerunning existing project. "circuit.dss" file not moved.
2024-08-30 19:01:46,964 Process-8  root Rerunning existing project. "loads.csv" file not moved.
2024-08-30 19:01:46,965 Process-8  root Rerunning existing project. "outages.csv" file not moved.
2024-08-30 19:04:12,008 Process-8  root load_phases on bus_name: phases ['1'] on bus 634.1
2024-08-30 19:04:12,009 Process-8  root load_phases on bus_name: phases ['1'] on bus 634.1
2024-08-30 19:04:12,010 Process-8  root load_phases on bus_name: phases ['1'] on bus 634.1
2024-08-30 19:04:12,010 Process-8  root load_phases on bus_name: phases ['1', '2', '3'] on bus 675.1.2.3
2024-08-30 19:04:12,011 Process-8  root load_phases on bus_name: phases ['1', '2', '3'] on bus 675.1.2.3
2024-08-30 19:04:12,011 Process-8  root load_phases on bus_name: phases ['1', '2', '3'] on bus 675.1.2.3
2024-08-30 19:04:12,012 Process-8  root load_phases on bus_name: phases ['1', '2', '3'] on bus 692.1.2.3
2024-08-30 19:04:12,012 Process-8  root load_phases on bus_name: phases ['3'] on bus 684.3
2024-08-30 19:04:12,013 Process-8  root load_phases on bus_name: phases ['3'] on bus 652.3
2024-08-30 19:04:12,013 Process-8  root load_phases on bus_name: phases ['3'] on bus 611.3
2024-08-30 19:04:12,014 Process-8  root load_phases on bus_name: phases ['2'] on bus 645.2
2024-08-30 19:04:12,015 Process-8  root load_phases on bus_name: phases ['2'] on bus 646.2
2024-08-30 19:04:12,015 Process-8  root More than one load voltage is specified on microgrid mg0. Check Oneline diagram to verify that phases and voltages of ('634a_data_center', '634b_radar', '634c_atc_tower', '675a_hospital', '675b_residential1', '675c_residential1', '692_warehouse2', '684_command_center', '652_residential', '611_runway', '645_hangar', '646_office') are correctly supported by gen_bus 670.

2024-08-30 19:04:12,025 Process-8  root mg_phase_and_kv out_dict: {'gen_bus': '670', 'phases': ['1', '2', '3'], 'kv': 2.4017771198288433}
2024-08-30 19:04:12,048 Process-8  root Pre-existing battery battery_634_existing will not be utilized to support loads in microgrid mg0.

2024-08-30 19:04:12,049 Process-8  root Pre-existing battery battery_684_existing will not be utilized to support loads in microgrid mg0.

2024-08-30 19:04:12,174 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,174 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,174 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,174 Process-8  root Supporting critical loads across microgrids assumes the ability to remotely disconnect 3-phase loads.

2024-08-30 19:04:12,175 Process-8  root Supporting critical loads across microgrids assumes the ability to remotely disconnect 3-phase loads.

2024-08-30 19:04:12,175 Process-8  root Supporting critical loads across microgrids assumes the ability to remotely disconnect 3-phase loads.

2024-08-30 19:04:12,175 Process-8  root Supporting critical loads across microgrids assumes the ability to remotely disconnect 3-phase loads.

2024-08-30 19:04:12,176 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,176 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,176 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,176 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,177 Process-8  root Supporting critical loads across microgrids assumes an AMI metering system. If not currently installed, add budget for the creation of an AMI system.

2024-08-30 19:04:12,212 Process-8  root microgrid_report_csv() gen_sizes into CSV report: {'solar_size_total': 3325.3092, 'solar_size_existing': 1240.0, 'solar_size_new': 2085.3092, 'wind_size_total': 0, 'wind_size_existing': 0.0, 'wind_size_new': 0.0, 'fossil_size_total': 1586.0, 'fossil_size_existing': 81.0, 'fossil_size_new': 1505.0, 'battery_cap_total': 545.76, 'battery_cap_existing': 407.0, 'battery_cap_new': 138.76, 'battery_pow_total': 413.87, 'battery_pow_existing': 99.0, 'battery_pow_new': 314.87}
2024-08-30 19:04:12,473 Process-8  root QSTS with circuit_plus_mgAll.dss AND CWD IS /home/austin/programming/repositories/microgridup/microgridup/data/projects/lehigh1mg
2024-08-30 19:04:14,831 Process-8  root CONTROLLING ON {'mg0': mappingproxy({'gen_bus': '670', 'gen_obs_existing': ('solar_634_existing', 'solar_675_existing', 'fossil_684_existing', 'battery_634_existing', 'battery_684_existing'), 'loads': ('634a_data_center', '634b_radar', '634c_atc_tower', '675a_hospital', '675b_residential1', '675c_residential1', '692_warehouse2', '684_command_center', '652_residential', '611_runway', '645_hangar', '646_office'), 'parameter_overrides': mappingproxy({'reopt_inputs': mappingproxy({})}), 'switch': '650632'})}
2024-08-30 19:04:14,837 Process-8  root reduced 645_hangar from 170kW to 0kW.
2024-08-30 19:04:14,837 Process-8  root reduced 646_office from 230kW to 0kW.
2024-08-30 19:04:16,568 Process-8  root Control microgrids count 1 and renewable count 0
