ComponentAff,Start,Finish,Duration_min,Meters Affected
692675,2017-1-12 1:0:13,2017-1-12 1:10:18,10.095411422943815,
684652,2018-5-1 8:12:7,2018-5-1 8:41:55,29.810565202388723,
692675,2015-6-26 6:26:35,2015-6-26 7:09:29,42.90645944455714,
692675,2015-4-28 2:27:42,2015-4-28 2:35:16,7.573381216678256,
692675,2017-2-1 10:49:9,2017-2-1 12:45:28,116.32518644722944,
650632,2017-4-11 16:12:38,2017-4-11 16:21:15,8.628581788394609,
684611,2015-7-14 7:28:39,2015-7-14 8:14:44,46.08423908328994,
684652,2016-4-20 1:26:40,2016-4-20 1:42:00,15.34690401121236,
632645,2016-9-16 17:52:23,2016-9-16 18:10:33,18.17759505345253,
650632,2017-8-2 17:9:5,2017-8-2 20:29:00,199.93153530673192,
632670,2019-6-27 16:25:46,2019-6-27 18:37:10,131.41156284921493,
632633,2019-1-15 9:45:8,2019-1-15 10:16:26,31.30472617810093,
684611,2021-11-9 23:46:7,2021-11-9 23:52:39,6.53848053632005,
684611,2016-10-25 11:58:57,2016-10-25 12:53:25,54.480233022784006,
684611,2019-9-25 7:43:50,2019-9-25 7:49:10,5.336749262629119,
632670,2020-3-16 11:9:56,2020-3-16 12:00:30,50.56795116010522,
650632,2015-6-12 1:46:43,2015-6-12 3:44:56,118.22982873596976,
692675,2016-10-17 15:2:21,2016-10-17 15:34:37,32.28095951663272,
650632,2020-10-23 2:14:52,2020-10-23 3:20:00,65.14609149491791,
632670,2016-1-7 6:7:43,2016-1-7 9:17:53,190.18301391425828,
632670,2015-7-9 12:26:6,2015-7-9 14:38:37,132.5308779965632,
692675,2021-2-5 17:31:28,2021-2-5 20:49:23,197.9258484669322,
684611,2019-9-5 2:23:35,2019-9-5 6:01:41,218.1001972837228,
650632,2021-2-10 22:48:50,2021-2-10 22:52:15,3.429174156180967,
684652,2015-5-19 18:39:26,2015-5-19 19:09:50,30.41164811354131,
650632,2021-6-25 7:26:25,2021-6-25 7:36:22,9.963426504348044,
671692,2018-10-26 19:41:34,2018-10-26 20:26:51,45.29029337024764,
650632,2018-4-7 17:32:43,2018-4-7 18:17:58,45.25232464333157,
684652,2020-3-22 19:31:9,2020-3-22 22:52:47,201.64745456009948,
645646,2017-3-26 3:25:35,2017-3-26 4:00:52,35.29611184562364,
684652,2017-9-26 8:41:59,2017-9-26 9:54:19,72.33621727400637,
670671,2021-4-11 12:14:24,2021-4-11 19:48:52,454.4746169173867,
632633,2017-10-9 15:13:25,2017-10-9 19:00:14,226.8286977111455,
650632,2018-7-14 13:20:1,2018-7-14 13:49:13,29.216522393992445,
684652,2015-12-11 17:48:55,2015-12-11 18:34:42,45.790498121817535,
632633,2018-6-19 19:19:35,2018-6-19 20:07:24,47.82595194826836,
670671,2020-5-5 23:20:1,2020-5-6 1:50:47,150.76876165614297,
671692,2021-9-26 7:29:25,2021-9-26 8:32:23,62.97983748863631,
670671,2015-11-22 1:36:45,2015-11-22 3:20:09,103.40621559411198,
650632,2015-1-4 18:2:52,2015-1-4 23:10:18,307.4432122265854,
650632,2015-1-12 4:31:37,2015-1-12 8:05:53,214.2737440971986,
684611,2021-4-25 21:38:39,2021-4-26 1:59:49,261.1708325130532,
670671,2019-10-4 11:0:25,2019-10-4 16:16:29,316.0802539687461,
692675,2018-3-6 15:33:46,2018-3-6 16:03:27,29.69632053714021,
632645,2015-8-24 14:51:14,2015-8-24 15:35:52,44.647002319403846,
632633,2017-2-10 4:42:26,2017-2-10 8:43:46,241.3397580192216,
692675,2016-2-9 6:41:13,2016-2-9 8:29:26,108.23192369121944,
671680,2018-11-11 8:31:36,2018-11-11 9:19:15,47.66067674871,
671684,2015-11-3 8:31:32,2015-11-3 10:21:05,109.55432855269962,
671692,2016-5-18 23:45:52,2016-5-19 3:19:19,213.45778521618115,
670671,2020-9-21 16:37:59,2020-9-21 19:25:05,167.11335581647896,
632670,2017-3-5 19:4:12,2017-3-5 20:58:31,114.32730736489016,
632645,2020-8-23 2:23:22,2020-8-23 2:31:36,8.2445746496898,
692675,2015-3-22 19:9:27,2015-3-22 20:55:11,105.73979621016952,
632645,2017-6-8 9:45:15,2017-6-8 11:56:00,130.7568274884509,
684652,2017-2-7 10:24:30,2017-2-7 10:58:12,33.71328630005856,
671680,2017-11-23 10:21:49,2017-11-23 10:50:16,28.45884520932321,
645646,2015-7-7 18:35:48,2015-7-7 18:38:54,3.1098931986403784,
671680,2018-6-16 0:7:19,2018-6-16 0:31:49,24.504133352521524,
650632,2015-11-18 17:39:47,2015-11-18 17:41:34,1.796527953754797,
632633,2020-6-26 12:44:26,2020-6-26 12:57:18,12.868836459433869,
671680,2021-10-26 20:48:15,2021-10-26 20:49:39,1.4036884584574183,
671684,2019-5-19 18:43:22,2019-5-19 20:59:50,136.47903272241518,
684611,2020-2-21 21:42:49,2020-2-21 21:50:18,7.488042514182165,
632633,2021-10-13 22:14:58,2021-10-13 23:09:30,54.53827537347687,
632670,2015-1-26 20:8:6,2015-1-26 20:25:53,17.795315053665078,
671684,2015-4-14 5:52:42,2015-4-14 9:44:46,232.07565083854712,
632670,2016-2-14 22:35:4,2016-2-15 1:10:08,155.07707167205697,
632633,2015-5-18 0:28:52,2015-5-18 1:10:54,42.03766304043125,
632633,2017-6-22 3:18:41,2017-6-22 4:18:40,59.98680922395826,
645646,2018-9-16 7:0:39,2018-9-16 8:09:29,68.83469265374727,
671680,2017-9-24 0:2:10,2017-9-24 0:40:01,37.85579911452314,
684652,2016-4-22 14:19:30,2016-4-22 14:30:02,10.54130939200703,
671680,2018-2-23 9:36:36,2018-2-23 10:21:18,44.700217076423215,
670671,2016-9-25 8:35:27,2016-9-25 9:10:01,34.56847077170556,
671680,2015-4-15 13:2:46,2015-4-15 16:35:05,212.3318635373645,
684652,2018-3-11 3:59:20,2018-3-11 5:14:16,74.94318910316774,
632670,2016-7-28 7:30:56,2016-7-28 9:22:36,111.68059784267162,
671684,2021-10-25 12:31:42,2021-10-25 13:21:07,49.42064428467899,
684611,2020-2-23 13:8:34,2020-2-23 16:16:13,187.65543324861025,
671692,2021-10-14 16:19:43,2021-10-14 20:16:48,237.09753410313104,
670671,2020-3-26 5:13:59,2020-3-26 10:19:04,305.0963772717451,
671680,2018-6-12 15:18:51,2018-6-12 19:10:59,232.1338691660438,
671692,2017-3-7 16:8:15,2017-3-7 16:45:15,37.00987405992276,
632633,2018-4-16 19:15:34,2018-4-16 19:16:02,0.4687747253233189,
670671,2018-4-17 20:9:8,2018-4-17 20:12:24,3.267012551253498,
670671,2020-10-2 9:14:58,2020-10-2 10:00:45,45.7859089488491,
670671,2015-9-1 1:51:31,2015-9-1 2:57:14,65.7267438560475,
684611,2020-10-10 20:24:4,2020-10-10 20:29:02,4.982024459865942,
632670,2017-12-19 22:15:2,2017-12-19 22:43:43,28.691584256247797,
692675,2021-6-8 15:10:35,2021-6-8 20:55:40,345.0926177309979,
670671,2016-8-3 16:22:18,2016-8-3 17:23:09,60.85372233426053,
670671,2015-7-24 13:4:10,2015-7-24 13:18:12,14.040589429397444,
632670,2015-7-17 6:17:35,2015-7-17 7:10:45,53.1726868464375,
692675,2019-6-19 12:48:40,2019-6-19 14:50:09,121.49017129106694,
632645,2019-1-27 22:41:49,2019-1-28 0:37:34,115.75223776187376,
671692,2016-11-12 13:48:34,2016-11-12 14:26:10,37.6161722466453,
684652,2017-4-4 20:48:12,2017-4-4 21:01:40,13.470123315677032,
684611,2020-2-13 7:48:6,2020-2-13 8:09:03,20.95912926382152,
670671,2021-9-24 12:27:57,2021-9-24 12:51:26,23.493827316695786,
