ComponentAff,Start,Finish,Duration_min,Meters Affected
692675,2017-1-12 1:0:13,2017-1-12 1:10:18,10.095411422943815,675a_hospital 675b_residential1 675c_residential1
684652,2018-5-1 8:12:7,2018-5-1 8:41:55,29.810565202388723,652_residential
692675,2015-6-26 6:26:35,2015-6-26 7:09:29,42.90645944455714,675a_hospital 675b_residential1 675c_residential1
692675,2015-4-28 2:27:42,2015-4-28 2:35:16,7.573381216678256,675a_hospital 675b_residential1 675c_residential1
692675,2017-2-1 10:49:9,2017-2-1 12:45:28,116.32518644722944,675a_hospital 675b_residential1 675c_residential1
650632,2017-4-11 16:12:38,2017-4-11 16:21:15,8.628581788394609,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
684611,2015-7-14 7:28:39,2015-7-14 8:14:44,46.084239083289944,611_runway
684652,2016-4-20 1:26:40,2016-4-20 1:42:00,15.34690401121236,652_residential
632645,2016-9-16 17:52:23,2016-9-16 18:10:33,18.177595053452535,645_hangar 646_office
650632,2017-8-2 17:9:5,2017-8-2 20:29:00,199.93153530673192,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
632670,2019-6-27 16:25:46,2019-6-27 18:37:10,131.41156284921493,684_command_center 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
632633,2019-1-15 9:45:8,2019-1-15 10:16:26,31.304726178100932,634a_data_center 634b_radar 634c_atc_tower
684611,2021-11-9 23:46:7,2021-11-9 23:52:39,6.53848053632005,611_runway
684611,2016-10-25 11:58:57,2016-10-25 12:53:25,54.480233022784006,611_runway
684611,2019-9-25 7:43:50,2019-9-25 7:49:10,5.336749262629119,611_runway
632670,2020-3-16 11:9:56,2020-3-16 12:00:30,50.56795116010522,684_command_center 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
650632,2015-6-12 1:46:43,2015-6-12 3:44:56,118.22982873596975,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
692675,2016-10-17 15:2:21,2016-10-17 15:34:37,32.28095951663272,675a_hospital 675b_residential1 675c_residential1
650632,2020-10-23 2:14:52,2020-10-23 3:20:00,65.14609149491791,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
632670,2016-1-7 6:7:43,2016-1-7 9:17:53,190.18301391425828,684_command_center 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
632670,2015-7-9 12:26:6,2015-7-9 14:38:37,132.5308779965632,684_command_center 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
692675,2021-2-5 17:31:28,2021-2-5 20:49:23,197.9258484669322,675a_hospital 675b_residential1 675c_residential1
684611,2019-9-5 2:23:35,2019-9-5 6:01:41,218.10019728372282,611_runway
650632,2021-2-10 22:48:50,2021-2-10 22:52:15,3.429174156180967,684_command_center 634a_data_center 634b_radar 634c_atc_tower 645_hangar 646_office 692_warehouse2 675a_hospital 675b_residential1 675c_residential1 611_runway 652_residential 670a_residential2 670b_residential2 670c_residential2
684652,2015-5-19 18:39:26,2015-5-19 19:09:50,30.41164811354131,652_residential
