Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg2,mg2,Microgrid Design,100000
mg2,mg2,Microgrid Controls,100000
mg2,cb_301,SCADA disconnect switch,50000
mg2,load_3002,AMI disconnect meter,5000
mg2,load_3004,AMI disconnect meter,5000
mg2,load_3006,AMI disconnect meter,5000
mg2,load_3007,AMI disconnect meter,5000
mg2,load_3009,AMI disconnect meter,5000
mg2,load_3010,AMI disconnect meter,5000
mg2,load_3011,AMI disconnect meter,5000
mg2,load_3012,AMI disconnect meter,5000
mg2,load_3013,AMI disconnect meter,5000
mg2,load_3014,AMI disconnect meter,5000
mg2,load_3016,AMI disconnect meter,5000
mg2,load_3017,AMI disconnect meter,5000
mg2,load_3018,AMI disconnect meter,5000
mg2,load_3019,AMI disconnect meter,5000
mg2,load_3020,AMI disconnect meter,5000
mg2,load_3021,AMI disconnect meter,5000
mg2,load_3023,AMI disconnect meter,5000
mg2,load_3024,AMI disconnect meter,5000
mg2,load_3025,AMI disconnect meter,5000
mg2,load_3026,AMI disconnect meter,5000
mg2,load_3027,AMI disconnect meter,5000
mg2,load_3028,AMI disconnect meter,5000
mg2,load_3029,AMI disconnect meter,5000
mg2,load_3031,AMI disconnect meter,5000
mg2,load_3032,AMI disconnect meter,5000
mg2,load_3033,AMI disconnect meter,5000
mg2,load_3034,AMI disconnect meter,5000
mg2,load_3035,AMI disconnect meter,5000
mg2,load_3036,AMI disconnect meter,5000
mg2,load_3037,AMI disconnect meter,5000
mg2,load_3038,AMI disconnect meter,5000
mg2,load_3039,AMI disconnect meter,5000
mg2,load_3041,AMI disconnect meter,5000
mg2,load_3042,AMI disconnect meter,5000
mg2,load_3043,AMI disconnect meter,5000
mg2,load_3044,AMI disconnect meter,5000
mg2,load_3045,AMI disconnect meter,5000
mg2,load_3047,AMI disconnect meter,5000
mg2,load_3048,AMI disconnect meter,5000
mg2,load_3049,AMI disconnect meter,5000
mg2,load_3050,AMI disconnect meter,5000
