EQ_SOURCE_BUS, -93.6469     , 42.02755     
BUS1001, -93.6449     , 42.02555     
BUS1002, 8.9          , 14.11        
BUS1003, 8.9          , 13.36        
BUS1004, 7.77         , 14.11        
BUS1005, 6.4          , 14.11        
BUS1006, 5.15         , 14.11        
BUS1007, 5.15         , 12.98        
BUS1008, 3.71         , 14.11        
BUS1009, 2.4          , 14.11        
BUS1010, 1.4          , 14.11        
BUS1011, 2.4          , 12.98        
BUS1012, 2.4          , 12.11        
BUS1013, 2.4          , 11.23        
BUS1014, 3.85         , 11.23        
BUS1015, 4.85         , 11.23        
BUS1016, 2.4          , 10.48        
BUS1017, 2.4          , 9.73         
BUS2001, -93.6469     , 42.02555     
BUS2002, 9.56         , 7.58         
BUS2003, 8.3          , 7.58         
BUS2004, 7.07         , 7.58         
BUS2005, 5.77         , 7.58         
BUS2006, 4.54         , 7.58         
BUS2007, 4.55         , 8.25         
BUS2008, 3.66         , 8.25         
BUS2009, 4.55         , 8.93         
BUS2010, 3.68         , 7.58         
BUS2011, 2.71         , 7.58         
BUS2012, 2.32         , 7.1          
BUS2013, 2.31         , 6.44         
BUS2014, 2.31         , 5.68         
BUS2015, 1.41         , 5.68         
BUS2016, 2.31         , 4.97         
BUS2017, 2.31         , 4.24         
BUS2018, 2.31         , 3.51         
BUS2019, 3.23         , 6.45         
BUS2020, 3.23         , 5.85         
BUS2021, 4.04         , 6.44         
BUS2022, 4.04         , 5.72         
BUS2023, 4.04         , 4.99         
BUS2024, 4.04         , 4.26         
BUS2025, 4.04         , 3.53         
BUS2026, 4.8          , 6.45         
BUS2027, 5.59         , 6.45         
BUS2028, 5.59         , 5.88         
BUS2029, 5.58         , 5.31         
BUS2030, 5.58         , 4.73         
BUS2031, 5.58         , 4.16         
BUS2032, 6.61         , 6.45         
BUS2033, 7.6          , 6.45         
BUS2034, 7.6          , 5.79         
BUS2035, 8.46         , 6.44         
BUS2036, 9.3          , 6.45         
BUS2037, 10.21        , 6.45         
BUS2038, 10.21        , 5.84         
BUS2039, 10.21        , 4.98         
BUS2040, 11.07        , 4.98         
BUS2041, 11.88        , 4.98         
BUS2042, 10.21        , 4.39         
BUS2043, 10.21        , 3.63         
BUS2044, 8.76         , 3.63         
BUS2045, 8.76         , 4.29         
BUS2046, 8.76         , 5            
BUS2047, 7.84         , 4.29         
BUS2048, 6.92         , 4.29         
BUS2049, 7.87         , 3.63         
BUS2050, 7.01         , 3.63         
BUS2051, 6.16         , 3.62         
BUS2052, 6.16         , 2.81         
BUS2053, 8.76         , 2.1          
BUS2054, 7.78         , 2.1          
BUS2055, 6.84         , 2.1          
BUS2056, 5.86         , 2.1          
BUS2057, 8.76         , 1.4          
